,dataset,origin_type,coref_strategy,identification_method,parameters,wordvectors,type_true,R_MUC,P_MUC,F1_MUC,R_B3,P_B3,F1_B3,R_CEAF_E,P_CEAF_E,F1_CEAF_E,F1_CONLL,Support
nW4dNe8yFcoTrV6NMzuEpy,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,COUNTRY,0.665816327,0.58476475,0.622664016,0.253149388,0.587304075,0.35379869,0.56390406,0.067668487,0.120836584,0.36576643,1221
QPMefLB2x8XGdpQsGjmmbr,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,EVENT,0.677581864,0.438110749,0.53214639,0.412997267,0.427457723,0.420103095,0.553509022,0.090874616,0.156117929,0.369455805,419
UxKekb2QnJP9nuJRAFui7R,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,GROUP,0.672248804,0.548828125,0.604301075,0.16668925,0.559743735,0.25688058,0.491997086,0.043733074,0.080326055,0.313835903,430
dXaVGJ9QWPoq5Dvw3s5XB8,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,MISC,0.462203024,0.440329218,0.451001054,0.154610246,0.562103136,0.242515087,0.361579961,0.022957458,0.043173727,0.245563289,479
Mfe8VyYDdj9wjPjC5iqcwE,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,OBJECT,0.721719457,0.503949447,0.593488372,0.321951722,0.497757607,0.391001818,0.560553695,0.060835285,0.109758765,0.364749652,456
6MBVmg2ULv72Bi3oFnWrab,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,ACTION,0.581196581,0.175257732,0.269306931,0.216000292,0.19025997,0.202314688,0.362632362,0.042662631,0.076343655,0.182655091,123
mQoDD8YwSQJAgZFF8T83jS,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,ACTOR,0.894671623,0.672879776,0.768085106,0.623323399,0.631085797,0.627180581,0.761726386,0.276991413,0.406254072,0.600506587,843
LyVnHo9SUNaGHuHxsvq579,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,COUNTRY,0.699658703,0.484061393,0.572226099,0.274291151,0.38425078,0.320090745,0.404031393,0.059222843,0.103303481,0.331873442,1217
KZKx9zDpN8p8JkNFxuTuCa,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,EVENT,0.73164557,0.56555773,0.637969095,0.465111147,0.449953128,0.457406591,0.488831699,0.094335942,0.158151432,0.417842373,417
KEdcMqMFGXXNezMiNXGBNw,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,GROUP,0.749385749,0.504966887,0.603363007,0.212017982,0.404378982,0.278183121,0.43782605,0.057735303,0.10201772,0.327854616,419
K533kFkafcEWQgMbgjLKxJ,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,MISC,0.494553377,0.354134165,0.412727273,0.167149972,0.461486999,0.245412034,0.343440152,0.023788062,0.044494271,0.234211193,475
PhhLVDYnGUshqBNfN9PZeP,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,OBJECT,0.806818182,0.705765408,0.752916225,0.493086644,0.618135728,0.548575118,0.604104122,0.090940406,0.158083322,0.486524888,454
EjVZkbHA2dGvkgMCCtQ5ry,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,ACTION,0.581196581,0.165450122,0.257575758,0.216000292,0.180653299,0.196751857,0.362632362,0.042662631,0.076343655,0.176890423,123
SDGMcpLE2tuwM2AvrCvzXw,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,ACTOR,0.899628253,0.703488372,0.789559543,0.637565925,0.631603638,0.634570777,0.740742801,0.286739149,0.413437843,0.612522721,843
YCg7uJTrqCH2bxdo4uqaZn,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,COUNTRY,0.701365188,0.471060172,0.563592732,0.278528136,0.375383491,0.319782856,0.400647338,0.059306349,0.103318798,0.328898129,1217
UMW5Hbxox3PJXsBggk9Ax2,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,EVENT,0.73164557,0.537174721,0.619506967,0.455176237,0.429027702,0.441715325,0.487219836,0.094024881,0.157629947,0.40628408,417
mcwCYnMimcFdCmSrzCMoWc,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,GROUP,0.746928747,0.484076433,0.587439614,0.211540655,0.396147909,0.275803736,0.409295556,0.05397304,0.095369838,0.319537729,419
jHSHWfzs4ZrunvAq2p6zG5,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,MISC,0.494553377,0.335302806,0.399647887,0.169144432,0.447159252,0.245445547,0.349962588,0.024135351,0.045156463,0.230083299,475
BmifvXARrz2iVifyrt4pGU,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,OBJECT,0.806818182,0.705765408,0.752916225,0.493086644,0.618135728,0.548575118,0.604104122,0.090940406,0.158083322,0.486524888,454
