,R_MUC,P_MUC,F1_MUC,R_B3,P_B3,F1_B3,R_CEAF_E,P_CEAF_E,F1_CEAF_E,F1_CONLL,step,config
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec,0.445835602,0.917133259,0.6,0.270896898,0.930533175,0.419630832,0.524084676,0.035456593,0.066419612,0.362016815,step2,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec,0.492651062,0.911379658,0.639575972,0.277254833,0.914893504,0.425548798,0.530909688,0.03985459,0.074143351,0.37975604,step3,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec,0.684267828,0.902692998,0.778448676,0.376843164,0.840280267,0.520331573,0.63040399,0.084176751,0.148521662,0.48243397,step4,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_default_word2vec,0.216216216,0.864637985,0.345927792,0.063221031,0.962135176,0.118645944,0.289297871,0.013233325,0.025308945,0.163294227,init,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_default_word2vec,0.376279192,0.901886792,0.531012775,0.196189645,0.921057968,0.323477149,0.430533353,0.025014024,0.047281018,0.300590314,step0,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_default_word2vec,0.713198636,0.894078947,0.793460809,0.34530035,0.793213924,0.481148198,0.567368752,0.085605197,0.14876463,0.474457879,step1,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_default_word2vec,0.71713461,0.894599018,0.796096708,0.346743092,0.784524571,0.480926812,0.567001817,0.086986841,0.150833493,0.475952338,step2,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_default_word2vec,0.720545789,0.895921697,0.798720186,0.348785787,0.778095093,0.481663172,0.565239834,0.087698593,0.151838936,0.477407431,step3,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_default_word2vec,0.73287851,0.895192308,0.805944308,0.368356649,0.742693101,0.492463892,0.528718583,0.087481215,0.150123204,0.482843801,step4,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_default_word2vec,0.73287851,0.895192308,0.805944308,0.368356649,0.742693101,0.492463892,0.528718583,0.087481215,0.150123204,0.482843801,step5,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec,0.219889793,0.855102041,0.349822584,0.063778337,0.954549093,0.119567738,0.289360194,0.013356586,0.025534523,0.164974948,init,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec,0.380739963,0.89789604,0.534733739,0.199000339,0.911689142,0.326691575,0.425265366,0.024983428,0.047194293,0.302873202,step0,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec,0.715035424,0.893442623,0.794344848,0.347516422,0.780977653,0.480999529,0.559152913,0.085305066,0.148026955,0.474457111,step1,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec,0.718709,0.893929504,0.7968,0.3489041,0.776348222,0.481440602,0.558169049,0.086503574,0.149792673,0.476011092,step2,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec,0.72185778,0.894925179,0.79912854,0.350813541,0.774028859,0.482805067,0.558733946,0.087581866,0.1514274,0.477787002,step3,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec,0.734190501,0.894215404,0.806340058,0.371743964,0.736988341,0.494205799,0.518737119,0.086772876,0.148675702,0.483073853,step4,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec,0.734190501,0.894215404,0.806340058,0.371743964,0.736988341,0.494205799,0.518737119,0.086772876,0.148675702,0.483073853,step5,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
