,type_true,R_MUC,P_MUC,F1_MUC,R_B3,P_B3,F1_B3,R_CEAF_E,P_CEAF_E,F1_CEAF_E,F1_CONLL,Support,step,config
C2a4EPWmXDg5UB22uYuK8c,ACTOR,0.902759527,0.687,0.780238501,0.743318432,0.635154999,0.684993134,0.793081145,0.324442287,0.460498729,0.641910121,797,step1,NewsWCL_2019_annotated_multi_doc_tca_default_glove
Z6EoX58UtgjzqdeWAoFUuP,COUNTRY,0.677797834,0.412637363,0.512978142,0.222270133,0.375111532,0.279138431,0.502965592,0.072311347,0.126443864,0.306186812,1153,step1,NewsWCL_2019_annotated_multi_doc_tca_default_glove
a6reMZmZepSFcKTAj6XpP5,EVENT,0.750649351,0.42189781,0.540186916,0.476611084,0.294861745,0.36432748,0.468367138,0.102455311,0.168131793,0.35754873,406,step1,NewsWCL_2019_annotated_multi_doc_tca_default_glove
6AJk7ynfRNzi4gTZg2BN2V,GROUP,0.77037037,0.466367713,0.581005587,0.216930802,0.366328674,0.272496124,0.466513274,0.069976991,0.121699115,0.325066942,417,step1,NewsWCL_2019_annotated_multi_doc_tca_default_glove
gDUcV4hy7jpfaBenEkD3ur,MISC,0.602197802,0.311363636,0.410486891,0.217819647,0.322499193,0.260019289,0.370927463,0.033341794,0.061183911,0.243896697,471,step1,NewsWCL_2019_annotated_multi_doc_tca_default_glove
bsiGvMhwNF3QDptjsDRqKa,OBJECT,0.826789838,0.658088235,0.732855681,0.487290464,0.545599198,0.514799008,0.599209762,0.104861708,0.178488014,0.475380901,447,step1,NewsWCL_2019_annotated_multi_doc_tca_default_glove
7sqkfQ4NXnnwjnLeYYT82w,ACTION,0.626086957,0.172661871,0.270676692,0.185923489,0.155593293,0.169411575,0.346238885,0.038470987,0.069247777,0.169778681,120,step2,NewsWCL_2019_annotated_multi_doc_tca_default_glove
C2a4EPWmXDg5UB22uYuK8c,ACTOR,0.904073587,0.671219512,0.77043673,0.743820314,0.620303504,0.676469894,0.793081145,0.331987456,0.468047889,0.638318171,797,step2,NewsWCL_2019_annotated_multi_doc_tca_default_glove
Z6EoX58UtgjzqdeWAoFUuP,COUNTRY,0.694793537,0.397126732,0.505386876,0.229222903,0.34659451,0.2759465,0.504639408,0.075949075,0.132027752,0.304453709,1159,step2,NewsWCL_2019_annotated_multi_doc_tca_default_glove
a6reMZmZepSFcKTAj6XpP5,EVENT,0.750649351,0.42189781,0.540186916,0.476611084,0.294861745,0.36432748,0.468367138,0.102455311,0.168131793,0.35754873,406,step2,NewsWCL_2019_annotated_multi_doc_tca_default_glove
6AJk7ynfRNzi4gTZg2BN2V,GROUP,0.797590361,0.449118046,0.574652778,0.294291803,0.300588831,0.297406989,0.452793034,0.075465506,0.129369438,0.333809735,427,step2,NewsWCL_2019_annotated_multi_doc_tca_default_glove
gDUcV4hy7jpfaBenEkD3ur,MISC,0.602197802,0.291179596,0.392550143,0.217819647,0.304068152,0.253817075,0.370927463,0.033530166,0.061500927,0.235956048,471,step2,NewsWCL_2019_annotated_multi_doc_tca_default_glove
bsiGvMhwNF3QDptjsDRqKa,OBJECT,0.826789838,0.658088235,0.732855681,0.487290464,0.545599198,0.514799008,0.599209762,0.104861708,0.178488014,0.475380901,447,step2,NewsWCL_2019_annotated_multi_doc_tca_default_glove
7sqkfQ4NXnnwjnLeYYT82w,ACTION,0.626086957,0.160356347,0.255319149,0.185923489,0.145511122,0.163253532,0.346238885,0.038470987,0.069247777,0.162606819,120,step3,NewsWCL_2019_annotated_multi_doc_tca_default_glove
C2a4EPWmXDg5UB22uYuK8c,ACTOR,0.904073587,0.669912366,0.769574944,0.743820314,0.619152699,0.675784994,0.793081145,0.331987456,0.468047889,0.637802609,797,step3,NewsWCL_2019_annotated_multi_doc_tca_default_glove
Z6EoX58UtgjzqdeWAoFUuP,COUNTRY,0.696750903,0.397323726,0.506063586,0.234065874,0.345921914,0.279207655,0.505773043,0.07715182,0.133881099,0.306384114,1153,step3,NewsWCL_2019_annotated_multi_doc_tca_default_glove
a6reMZmZepSFcKTAj6XpP5,EVENT,0.750649351,0.42189781,0.540186916,0.476611084,0.294861745,0.36432748,0.468367138,0.102455311,0.168131793,0.35754873,406,step3,NewsWCL_2019_annotated_multi_doc_tca_default_glove
6AJk7ynfRNzi4gTZg2BN2V,GROUP,0.802469136,0.448895028,0.575730735,0.364516528,0.29174994,0.324099067,0.411685763,0.071597524,0.121980967,0.34060359,417,step3,NewsWCL_2019_annotated_multi_doc_tca_default_glove
gDUcV4hy7jpfaBenEkD3ur,MISC,0.602197802,0.290870488,0.392269148,0.217819647,0.303790691,0.253720359,0.370927463,0.033530166,0.061500927,0.235830144,471,step3,NewsWCL_2019_annotated_multi_doc_tca_default_glove
bsiGvMhwNF3QDptjsDRqKa,OBJECT,0.826789838,0.658088235,0.732855681,0.487290464,0.545599198,0.514799008,0.599209762,0.104861708,0.178488014,0.475380901,447,step3,NewsWCL_2019_annotated_multi_doc_tca_default_glove
7sqkfQ4NXnnwjnLeYYT82w,ACTION,0.643478261,0.161925602,0.258741259,0.234881823,0.139106746,0.174730721,0.399572218,0.046461886,0.083244212,0.172238731,120,step4,NewsWCL_2019_annotated_multi_doc_tca_default_glove
C2a4EPWmXDg5UB22uYuK8c,ACTOR,0.906701708,0.646067416,0.754510662,0.744332318,0.596418043,0.66221608,0.793081145,0.339891919,0.475848687,0.630858476,797,step4,NewsWCL_2019_annotated_multi_doc_tca_default_glove
Z6EoX58UtgjzqdeWAoFUuP,COUNTRY,0.731046931,0.404191617,0.520565553,0.281899731,0.301860435,0.291538821,0.411791806,0.072385278,0.123127118,0.311743831,1153,step4,NewsWCL_2019_annotated_multi_doc_tca_default_glove
a6reMZmZepSFcKTAj6XpP5,EVENT,0.755844156,0.4092827,0.531021898,0.476990016,0.28466038,0.356541952,0.468367138,0.104635212,0.171055824,0.352873225,406,step4,NewsWCL_2019_annotated_multi_doc_tca_default_glove
6AJk7ynfRNzi4gTZg2BN2V,GROUP,0.802469136,0.436827957,0.565709312,0.364516528,0.284227146,0.319403476,0.411685763,0.071597524,0.121980967,0.335697919,417,step4,NewsWCL_2019_annotated_multi_doc_tca_default_glove
