,dataset,origin_type,coref_strategy,identification_method,parameters,wordvectors,index,time,mentions_num,avg_time,config
1,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,1_ComeyMemo,220.5182964,361,0.610854007,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
2,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,2_NorthKoreaNuclearStopAnnouncement,175.1791667,417,0.420093925,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
3,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,3_DemocratsSueRUTrump,244.249106,570,0.428507203,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
4,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,4_TrumpDealIran,211.7652459,336,0.630253708,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
5,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,5_TrumpVisitUnitedKingdom,147.0885787,279,0.527199207,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
6,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,6_Asylum-SeekingMigrantCaravan,222.5479623,386,0.576549125,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
7,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,7_TrumpDelaysTariff,177.7018271,350,0.507719506,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
8,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,8_MuellerQuestionsTrump,183.0472723,315,0.581102452,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
9,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,9_Iranfiles,145.0049288,311,0.46625379,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
0,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,0_CIADirectorMikePompeoMeetingNorthKorea,178.1074391,392,0.454355712,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
1,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,1_ComeyMemo,223.7036724,361,0.619677763,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
2,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,2_NorthKoreaNuclearStopAnnouncement,175.4445667,417,0.420730376,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
3,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,3_DemocratsSueRUTrump,248.38352,570,0.435760561,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
4,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,4_TrumpDealIran,215.5914759,336,0.641641297,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
5,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,5_TrumpVisitUnitedKingdom,148.0172287,279,0.530527701,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
6,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,6_Asylum-SeekingMigrantCaravan,218.6817763,386,0.566533099,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
7,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,7_TrumpDelaysTariff,183.3666751,350,0.523904786,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
8,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,8_MuellerQuestionsTrump,184.2392603,315,0.584886541,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
9,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,9_Iranfiles,145.7452748,311,0.468634324,NewsWCL_2019_annotated_multi_doc_xcoref_default_word2vec
0,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,0_CIADirectorMikePompeoMeetingNorthKorea,340.6387681,392,0.868976449,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
1,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,1_ComeyMemo,254.5727054,361,0.70518755,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
2,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,2_NorthKoreaNuclearStopAnnouncement,261.0908897,417,0.626117242,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
3,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,3_DemocratsSueRUTrump,406.898935,570,0.713857781,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
4,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,4_TrumpDealIran,268.3331719,336,0.798610631,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
5,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,5_TrumpVisitUnitedKingdom,192.8271847,279,0.691136863,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
6,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,6_Asylum-SeekingMigrantCaravan,284.8381683,386,0.737922716,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
7,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,7_TrumpDelaysTariff,227.6996221,350,0.650570349,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
8,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,8_MuellerQuestionsTrump,227.3201113,315,0.721651147,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
9,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,9_Iranfiles,209.5384378,311,0.673757035,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_fasttext
0,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,0_CIADirectorMikePompeoMeetingNorthKorea,340.2826691,392,0.868068033,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
1,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,1_ComeyMemo,254.6563654,361,0.705419295,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
2,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,2_NorthKoreaNuclearStopAnnouncement,261.1042087,417,0.626149182,NewsWCL_2019_annotated_multi_doc_xcoref_base_default_glove
